name,dob,no_theft_count
Anthony Rambo,02/08/1994,9
Rusty Slaton,23/01/1997,9
Francis Mittendorf,31/08/1994,9
Linda Calloway,26/10/1996,9
Helen Morrill,30/03/1997,9
Grace Rains,28/08/1995,9
Laura Murphy,02/08/1996,9
Sarah Cushman,15/10/1996,9
Sheila Wolfe,18/06/1997,8
Chester Hall,19/03/1990,8
Tamara Horton,11/09/1992,8
Charles Postell,31/10/1995,8
James Heminger,25/10/1994,8
Joseph Holt,11/11/1997,8
Karl Shephard,05/06/1997,8
Benny Wene,18/03/1996,8
Shannon Ferrera,09/07/1997,8
Floy Belliveau,08/10/1994,8
James Pettit,13/05/1997,8
Jack Hawkins,23/03/1996,8
Wade Hernandez,19/04/1997,8
Regina Holderby,18/02/1996,8
Nannie Monson,13/03/1995,8
Joan Vanderpool,01/01/1997,8
Robert Armstrong,01/06/1995,8
Amy Smith,21/02/1996,8
Tina Malone,28/11/1990,8
Patricia Scala,03/02/1996,8
Melanie Bell,05/12/1995,7
Nicholas Ibarra,13/11/1996,7
Peggy Ross,23/07/1995,7
Laura Fantauzzi,31/03/1993,7
Jeffrey Hernandez,27/10/1993,7
Julie Gordon,03/04/1997,7
Leonard Coggin,10/08/1996,7
Carol Hughes,02/12/1995,7
Catherine Hernandez,16/04/1997,7
Cecilia Brake,21/07/1995,7
Shelly Wurth,24/12/1996,7
Nancy Castle,16/11/1994,7
James Wilkins,29/05/1995,7
Martha Jamison,17/01/1996,7
Rosa Liu,14/04/1997,7
Tina Pittman,05/06/1997,7
Jaime Farrow,07/10/1996,7
Sylvia Mcafee,09/12/1996,7
Michael Lucas,20/06/1997,7
Roger Mcbryde,17/07/1996,7
James Young,24/03/1993,7
Cindy Phillips,09/01/1997,7
Gena Ford,20/06/1997,6
Alice Kite,14/05/1995,6
Francis Ward,15/05/1997,6
Yvette Vasquez,05/05/1995,6
Jose Daniel,27/09/1996,6
Anthony Moulder,17/05/1996,6
Bonny Fricke,14/10/1996,6
Victor Worthy,14/03/1997,6
Toby Bright,13/09/1997,6
Anderson Hatton,24/02/1996,6
Joshua Custer,21/12/1996,6
Walter Myers,14/01/1997,6
Susan Miller,17/05/1996,6
Valentine Aiello,05/11/1993,6
Barbara Perez,29/11/1997,6
James Smith,19/08/1997,6
Gertrude Giglio,25/05/1997,6
Mark Fitz,19/07/1994,6
Jordan Figueroa,18/11/1996,6
Margaret Huff,11/09/1996,6
Helen Certain,18/11/1994,6
Duane Hobbs,26/02/1995,6
Patrick Gonzales,03/05/1995,6
Dale Winship,23/12/1994,6
Elisha Bernstein,23/04/1995,6
Harry Poe,20/03/1997,6
Numbers Parton,13/05/1997,6
Sang Adams,05/12/1994,6
Brian Bailey,26/04/1996,6
Loretta Massey,14/08/1996,6
Katherine Olson,06/12/1996,6
Elizabeth Riggs,24/02/1996,6
Kristen Kellum,06/10/1997,6
Warren Pease,17/07/1995,5
Ryan Watson,25/04/1997,5
Edwin Oshea,27/05/1995,5
Christopher Lutwin,21/12/1996,5
Fernanda Olivera,09/08/1997,5
Joseph Arredondo,02/07/1997,5
Harry Corona,15/11/1997,5
Geraldine Babb,20/09/1996,5
Kim Holm,08/01/1996,5
Arthur Moon,23/04/1995,5
James Norton,27/01/1996,5
Susan Lee,10/07/1994,5
Dorian Bell,01/08/1996,5
Jerry Boris,07/09/1995,5
Micah Good,06/08/1995,5
Marie Justice,16/09/1995,5
Adolph Cearley,16/08/1997,5
Jonathan Clark,26/09/1995,4
John Romiro,16/02/1997,4
Sidney Brockington,14/03/1996,4
Troy Miller,13/02/1997,4
Shirley White,23/08/1995,4
Lynda Rost,21/08/1995,4
Leontine Galuska,21/03/1996,4
Jennifer Bell,02/10/1997,4
Jacklyn Wooten,25/06/1995,4
Ivory Edwards,14/02/1994,4
James Ewing,05/07/1997,4
Karl Moore,19/11/1995,4
Sandy Alexander,19/06/1997,4
Lillian Cooper,17/02/1997,4
John Braswell,22/06/1995,4
Richard Hillman,16/10/1996,4
Ethel Hoeft,05/03/1995,4
Curtis Degroot,14/11/1993,4
Lakenya Black,11/10/1993,4
Amy Applewhite,25/06/1995,3
Amanda Ciciora,26/10/1995,3
Marion Rasch,05/11/1996,3
Monica Parker,15/01/1996,3
John Gambill,04/03/1996,3
Gabriela Cunningham,10/01/1996,3
John Lamb,02/01/1994,3
Peggy Kasky,17/03/1993,3
Jaclyn Jordan,29/03/1995,3
Richelle Johnson,20/07/1995,3
Henry Wilcox,28/12/1994,3
William Daley,11/09/1996,3
Randy Breen,12/09/1996,3
Anne May,16/04/1996,3
Todd James,11/07/1994,3
Mike Mckee,06/12/1997,3
Rusty Monterio,04/01/1997,3
Lucille Moore,05/08/1997,3
Christopher Grabau,19/12/1996,3
Luella Mccrea,29/05/1997,3
Mary Jefferson,10/11/1995,3
Susan Vandenbosch,14/01/1997,3
Joshua Archibald,06/12/1996,3
Anthony Uhlman,13/08/1993,3
Annie Valencia,21/11/1996,3
Gregory Gray,03/10/1997,3
Rose Dobbins,14/08/1995,3
Kevin Kahalehoe,11/03/1996,3
Juan Jones,05/12/1996,3
Chris Collins,12/02/1995,3
Sheryl Heenan,12/04/1995,2
Brittney Fitzpatrick,25/06/1996,2
Shirley Ivey,30/01/1996,2
Carin Trew,22/01/1996,2
Michael Heilman,09/07/1995,2
Blair Mcrary,07/10/1996,2
Rachel Dunn,05/03/1996,2
Stella Boehmer,19/04/1993,2
Duane Gray,16/07/1994,2
Dante Campbell,08/12/1995,2
Andrew Hinton,27/12/1996,2
Eliseo Markham,27/02/1996,2
John Meyers,22/01/1997,2
Irving Wolchesky,07/11/1994,2
John Baumer,26/01/1996,2
Arthur Allen,08/09/1992,1
Loretta Massey,11/05/1997,1
Martha Holland,26/04/1995,1
Kurt Trevino,25/02/1996,1
Michelle Karcher,18/02/1997,1
Thomas Warner,13/05/1997,1
Richard Corrie,30/12/1996,1
Velma Smith,18/03/1997,1
Donald Johnson,31/05/1997,1
Alesha Lankford,24/09/1996,1
Irene Bean,16/12/1996,1
William Peterson,26/05/1997,1
John Green,08/06/1996,1
Fred Clothier,25/07/1996,1
Hannah Toomey,28/01/1997,1
Robert Bryan,10/03/1996,1
James Wallace,29/03/1995,1
Joseph Blanco,02/06/1996,1
Deborah Copstead,04/06/1997,1
Cheryl Volz,11/08/1994,1
Joni Cordova,18/06/1996,1
Randall Amberg,05/02/1996,1
Ruth Gajewski,03/06/1997,1
