name                ,dob       ,visit_date,date      ,theft_date
Vickie Leathers     ,15/12/1995,2016-05-07,2016-05-07,
Cecilia Slone       ,14/12/1995,2016-05-07,2016-05-07,
Michael Richardson  ,11/12/1995,2016-05-07,2016-05-07,
Guillermo Johnson   ,10/12/1995,2016-05-07,2016-05-07,
Melanie Bell        ,05/12/1995,2016-05-07,2016-05-07,
Kimberly Monroe     ,30/11/1995,2016-05-07,2016-05-07,
Ollie Rogers        ,25/11/1995,2016-05-07,2016-05-07,
Adam Berry          ,02/11/1995,2016-05-07,2016-05-07,
Jerry Fritz         ,19/10/1995,2016-05-07,2016-05-07,
James Smith         ,10/04/1996,2016-05-07,2016-05-07,
Thaddeus Diaz       ,09/10/1995,2016-05-07,2016-05-07,
Adam Johnson        ,11/04/1996,2016-05-07,2016-05-07,
Holly Walker        ,25/04/1996,2016-05-07,2016-05-07,
Debra Kelley        ,12/10/1996,2016-05-07,2016-05-07,
Sanford Huffman     ,02/10/1996,2016-05-07,2016-05-07,
Justin Godoy        ,30/09/1996,2016-05-07,2016-05-07,
Evelyn Bonita       ,23/09/1996,2016-05-07,2016-05-07,
Arthur Freund       ,07/09/1996,2016-05-07,2016-05-07,
Michael Walden      ,03/09/1996,2016-05-07,2016-05-07,
Larry Drabant       ,03/09/1996,2016-05-07,2016-05-07,
Sammy Fox           ,31/08/1996,2016-05-07,2016-05-07,
Cynthia Allen       ,29/08/1996,2016-05-07,2016-05-07,
David Reid          ,27/08/1996,2016-05-07,2016-05-07,
Edith Alexander     ,18/08/1996,2016-05-07,2016-05-07,
Leroy Smith         ,09/08/1996,2016-05-07,2016-05-07,
Myra Segura         ,28/07/1996,2016-05-07,2016-05-07,
Sheila Burch        ,18/07/1996,2016-05-07,2016-05-07,
Florine Kim         ,14/07/1996,2016-05-07,2016-05-07,
Felicia Preece      ,09/07/1996,2016-05-07,2016-05-07,
Justin Achenbach    ,29/06/1996,2016-05-07,2016-05-07,
Sean Bishop         ,23/06/1996,2016-05-07,2016-05-07,
Laura Ingram        ,22/06/1996,2016-05-07,2016-05-07,
Henry Brunson       ,21/06/1996,2016-05-07,2016-05-07,
Jason Villegas      ,08/06/1996,2016-05-07,2016-05-07,
Sherry Stewart      ,07/06/1996,2016-05-07,2016-05-07,
Larry Coffman       ,03/06/1996,2016-05-07,2016-05-07,
Sarah Mckeon        ,02/06/1996,2016-05-07,2016-05-07,
John Vildosola      ,29/05/1996,2016-05-07,2016-05-07,
Roger Ballance      ,16/05/1996,2016-05-07,2016-05-07,
James Hemingway     ,10/05/1996,2016-05-07,2016-05-07,
Carmen Frix         ,09/05/1996,2016-05-07,2016-05-07,
Joseph Smith        ,25/04/1996,2016-05-07,2016-05-07,
Mary Lofton         ,23/04/1996,2016-05-07,2016-05-07,
Shannon Ferrera     ,09/07/1997,2016-05-07,2016-05-07,
James Honor         ,09/02/1996,2016-05-08,2016-05-08,
David Gismondi      ,21/07/1994,2016-05-08,2016-05-08,
Michael Alvarado    ,05/07/1997,2016-05-08,2016-05-08,
Deborah Peralez     ,08/07/1997,2016-05-08,2016-05-08,
Teresa Bahlmann     ,09/07/1997,2016-05-08,2016-05-08,
Russell Jordan      ,11/07/1997,2016-05-08,2016-05-08,
Charles Betts       ,18/07/1997,2016-05-08,2016-05-08,
Laura Ortiz         ,23/07/1997,2016-05-08,2016-05-08,
Sheila Litecky      ,30/07/1997,2016-05-08,2016-05-08,
Barbara Grams       ,03/08/1997,2016-05-08,2016-05-08,
Raymond Shannon     ,06/08/1997,2016-05-08,2016-05-08,
Mary Hill           ,19/08/1997,2016-05-08,2016-05-08,
Leona Meinke        ,22/08/1997,2016-05-08,2016-05-08,
Yvonne Kouba        ,25/08/1997,2016-05-08,2016-05-08,
Rosalba Vazquez     ,02/09/1997,2016-05-08,2016-05-08,
Isreal Jones        ,05/09/1997,2016-05-08,2016-05-08,
Melody Whitlock     ,05/09/1997,2016-05-08,2016-05-08,
Lucille Bell        ,07/09/1997,2016-05-08,2016-05-08,
Rebecca Morris      ,10/09/1997,2016-05-08,2016-05-08,
Jesse Mcclung       ,13/09/1997,2016-05-08,2016-05-08,
Alice Seidel        ,18/09/1997,2016-05-08,2016-05-08,
Keith Sharp         ,23/09/1997,2016-05-08,2016-05-08,
Jenny Mcnabb        ,25/09/1997,2016-05-08,2016-05-08,
Nathaniel Malpass   ,02/07/1997,2016-05-08,2016-05-08,
Carolyn Ave         ,29/10/1997,2016-05-08,2016-05-08,
Joseph Arredondo    ,02/07/1997,2016-05-08,2016-05-08,
Christopher Mather  ,02/06/1997,2016-05-08,2016-05-08,
Nadine Benton       ,26/02/1997,2016-05-08,2016-05-08,
Shirley Walter      ,04/03/1997,2016-05-08,2016-05-08,
Maria Mcswain       ,16/03/1997,2016-05-08,2016-05-08,
Robin Wilson        ,22/03/1997,2016-05-08,2016-05-08,
Mark Powers         ,23/03/1997,2016-05-08,2016-05-08,
Mary Vanauker       ,24/03/1997,2016-05-08,2016-05-08,
Dean Jennings       ,30/03/1997,2016-05-08,2016-05-08,
Irma Tseng          ,06/04/1997,2016-05-08,2016-05-08,
Deanne Fisher       ,08/04/1997,2016-05-08,2016-05-08,
Wesley Blaisdell    ,09/04/1997,2016-05-08,2016-05-08,
Linda Holstine      ,10/04/1997,2016-05-08,2016-05-08,
David Phillips      ,12/04/1997,2016-05-08,2016-05-08,
Adrienne Raney      ,16/04/1997,2016-05-08,2016-05-08,
Jack Hawkins        ,30/04/1997,2016-05-08,2016-05-08,
Donna Riess         ,01/05/1997,2016-05-08,2016-05-08,
Thomas Vanderwal    ,06/05/1997,2016-05-08,2016-05-08,
Charles Crandall    ,12/05/1997,2016-05-08,2016-05-08,
Leonard Poole       ,14/05/1997,2016-05-08,2016-05-08,
Francis Ward        ,15/05/1997,2016-05-08,2016-05-08,
Jean Vayner         ,15/05/1997,2016-05-08,2016-05-08,
Bruce Killeen       ,23/05/1997,2016-05-08,2016-05-08,
William Becker      ,20/06/1997,2016-05-08,2016-05-08,
David Graves        ,03/02/1997,2016-05-08,2016-05-08,
Stephanie Dolphin   ,08/11/1997,2016-05-08,2016-05-08,
Victor Ortiz        ,03/02/1996,2016-05-08,2016-05-08,
Coleen Boender      ,05/09/1995,2016-05-08,2016-05-08,
Amy Cass            ,31/08/1995,2016-05-08,2016-05-08,
Richard Gwinn       ,09/07/1994,2016-05-08,2016-05-08,
Laura Sotelo        ,06/04/1994,2016-05-08,2016-05-08,
Bradley Smith       ,31/03/1994,2016-05-08,2016-05-08,
Stephen Diggins     ,18/01/1994,2016-05-08,2016-05-08,
Karen Keeney        ,25/12/1993,2016-05-08,2016-05-08,
Mary Garret         ,12/11/1993,2016-05-08,2016-05-08,
Allison Larsen      ,16/10/1993,2016-05-08,2016-05-08,
Georgia Stabler     ,18/09/1993,2016-05-08,2016-05-08,
Gilbert Mackay      ,18/08/1993,2016-05-08,2016-05-08,
Nellie Jaynes       ,02/08/1993,2016-05-08,2016-05-08,
Patricia Whitley    ,08/06/1993,2016-05-08,2016-05-08,
Debbie Mcneil       ,12/07/1994,2016-05-08,2016-05-08,
Pablo Weidler       ,27/09/1992,2016-05-08,2016-05-08,
Martha Burton       ,18/06/1992,2016-05-08,2016-05-08,
John Sanos          ,02/06/1991,2016-05-08,2016-05-08,
Michelle Bennett    ,23/02/1991,2016-05-08,2016-05-08,
Babette Mitchell    ,27/08/1995,2016-05-08,2016-05-08,
Peter Romo          ,25/08/1995,2016-05-08,2016-05-08,
Kelly Gagnon        ,18/08/1995,2016-05-08,2016-05-08,
Marcia Coleman      ,08/09/1995,2016-05-08,2016-05-08,
Ramon Copper        ,12/11/1997,2016-05-08,2016-05-08,
Sarah Wilds         ,08/09/1995,2016-05-08,2016-05-08,
Ruth Delgado        ,18/09/1995,2016-05-08,2016-05-08,
James Baker         ,21/01/1996,2016-05-08,2016-05-08,
Wes Carlson         ,13/01/1996,2016-05-08,2016-05-08,
Nicole Mcglone      ,13/01/1996,2016-05-08,2016-05-08,
Ronald Snook        ,03/01/1996,2016-05-08,2016-05-08,
Oscar Charles       ,03/01/1996,2016-05-08,2016-05-08,
Joseph Hirneise     ,18/12/1995,2016-05-08,2016-05-08,
Hulda Nogle         ,13/12/1995,2016-05-08,2016-05-08,
Guillermo Johnson   ,10/12/1995,2016-05-08,2016-05-08,
Bridgett Collins    ,04/12/1995,2016-05-08,2016-05-08,
Kimberly Monroe     ,30/11/1995,2016-05-08,2016-05-08,
Rafael Ellis        ,17/11/1995,2016-05-08,2016-05-08,
Carey Hamilton      ,10/07/1994,2016-05-08,2016-05-08,
Betty Kessler       ,17/11/1995,2016-05-08,2016-05-08,
Ivan Huertas        ,16/11/1995,2016-05-08,2016-05-08,
Lynn Bernhart       ,13/11/1995,2016-05-08,2016-05-08,
Ricardo Hedman      ,07/11/1995,2016-05-08,2016-05-08,
Virginia Orr        ,18/10/1995,2016-05-08,2016-05-08,
Kenny Vandervort    ,17/10/1995,2016-05-08,2016-05-08,
Darlene Cunha       ,06/10/1995,2016-05-08,2016-05-08,
John Ramirez        ,29/09/1995,2016-05-08,2016-05-08,
Cynthia Vanwinkle   ,27/09/1995,2016-05-08,2016-05-08,
Kathleen Benzi      ,15/09/1995,2016-05-08,2016-05-08,
Earl Weber          ,24/01/1997,2016-05-08,2016-05-08,
Bryant Ahearn       ,08/03/1997,2016-05-08,2016-05-08,
Steven Lee          ,14/01/1997,2016-05-08,2016-05-08,
Patrick Kerley      ,13/07/1995,2016-05-08,2016-05-08,
Deborah Rosenfeld   ,14/07/1995,2016-05-08,2016-05-08,
Robert Haine        ,14/07/1995,2016-05-08,2016-05-08,
Ralph Brisson       ,26/07/1995,2016-05-08,2016-05-08,
David Lombardi      ,03/08/1995,2016-05-08,2016-05-08,
Margaret Magallanes ,07/08/1995,2016-05-08,2016-05-08,
Thomas Cole         ,11/08/1995,2016-05-08,2016-05-08,
Henry Rios          ,05/02/1996,2016-05-08,2016-05-08,
Robert Ewing        ,09/02/1996,2016-05-08,2016-05-08,
Eleanor Snyder      ,12/02/1996,2016-05-08,2016-05-08,
Samantha Vazquez    ,19/02/1996,2016-05-08,2016-05-08,
Jennell Thompson    ,24/02/1996,2016-05-08,2016-05-08,
Haley Fundora       ,02/03/1996,2016-05-08,2016-05-08,
Linda Gomez         ,08/03/1996,2016-05-08,2016-05-08,
Cynthia Barrier     ,10/03/1996,2016-05-08,2016-05-08,
Kathryn Starr       ,11/03/1996,2016-05-08,2016-05-08,
William Couch       ,15/03/1996,2016-05-08,2016-05-08,
Susan Brown         ,23/03/1996,2016-05-08,2016-05-08,
Jeanine Jones       ,16/01/1997,2016-05-08,2016-05-08,
Cheryl Robinson     ,05/04/1996,2016-05-08,2016-05-08,
Dawn Burns          ,06/04/1996,2016-05-08,2016-05-08,
Adrienne Ruck       ,13/07/1995,2016-05-08,2016-05-08,
Brenda Miller       ,03/07/1995,2016-05-08,2016-05-08,
Nicholas Acosta     ,05/06/1995,2016-05-08,2016-05-08,
Nicholas Lewis      ,04/06/1995,2016-05-08,2016-05-08,
Maribel Walters     ,30/07/1994,2016-05-08,2016-05-08,
Janice Mcnatt       ,28/08/1994,2016-05-08,2016-05-08,
Emelda Clay         ,29/08/1994,2016-05-08,2016-05-08,
Roderick Anding     ,03/09/1994,2016-05-08,2016-05-08,
James Gantt         ,10/09/1994,2016-05-08,2016-05-08,
Claire Miller       ,15/09/1994,2016-05-08,2016-05-08,
Robert Featherston  ,08/10/1994,2016-05-08,2016-05-08,
Effie Garcia        ,14/11/1994,2016-05-08,2016-05-08,
Dong Brett          ,17/11/1994,2016-05-08,2016-05-08,
Kirby Roberts       ,26/11/1994,2016-05-08,2016-05-08,
Adam Johnson        ,11/04/1996,2016-05-08,2016-05-08,
Rebecca Marusarz    ,26/11/1994,2016-05-08,2016-05-08,
Wai Houlahan        ,11/12/1994,2016-05-08,2016-05-08,
Aaron Nelson        ,12/12/1994,2016-05-08,2016-05-08,
Claudia Hughes      ,13/12/1994,2016-05-08,2016-05-08,
Theresa Dixon       ,28/12/1994,2016-05-08,2016-05-08,
Martha Peters       ,09/01/1995,2016-05-08,2016-05-08,
Brenda Mathis       ,15/01/1995,2016-05-08,2016-05-08,
Joseph Young        ,17/02/1995,2016-05-08,2016-05-08,
Phyllis Romero      ,24/03/1995,2016-05-08,2016-05-08,
Stanley Barnett     ,22/04/1995,2016-05-08,2016-05-08,
Byron Wafford       ,21/05/1995,2016-05-08,2016-05-08,
Manuela Hines       ,06/12/1994,2016-05-08,2016-05-08,
Mary Bell           ,17/08/1995,2016-05-08,2016-05-08,
Katherine Gore      ,30/03/1996,2016-05-08,2016-05-08,
Pete Bobb           ,22/04/1996,2016-05-08,2016-05-08,
Libby Locke         ,13/09/1996,2016-05-08,2016-05-08,
Cecil Fryer         ,07/10/1996,2016-05-08,2016-05-08,
Chris Mayer         ,14/04/1996,2016-05-08,2016-05-08,
Jane Burton         ,18/10/1996,2016-05-08,2016-05-08,
Tracy Strope        ,03/11/1996,2016-05-08,2016-05-08,
Craig Burks         ,04/11/1996,2016-05-08,2016-05-08,
Willie Gould        ,08/11/1996,2016-05-08,2016-05-08,
Virginia Gresham    ,09/11/1996,2016-05-08,2016-05-08,
Evalyn Kenney       ,14/11/1996,2016-05-08,2016-05-08,
Susan Medina        ,17/11/1996,2016-05-08,2016-05-08,
Christine Victoria  ,26/11/1996,2016-05-08,2016-05-08,
James Scott         ,29/11/1996,2016-05-08,2016-05-08,
Suzanne Larson      ,02/12/1996,2016-05-08,2016-05-08,
Kim Redding         ,03/12/1996,2016-05-08,2016-05-08,
Owen Wessel         ,04/12/1996,2016-05-08,2016-05-08,
Marcus Cox          ,05/12/1996,2016-05-08,2016-05-08,
Christi Macpartland ,11/12/1996,2016-05-08,2016-05-08,
Mario Heilmann      ,30/12/1996,2016-05-08,2016-05-08,
Samuel Fierro       ,02/01/1997,2016-05-08,2016-05-08,
Sean Cole           ,05/01/1997,2016-05-08,2016-05-08,
Sandra Lannier      ,14/01/1997,2016-05-08,2016-05-08,
Margaret Huff       ,11/09/1996,2016-05-08,2016-05-08,
Janet Greene        ,06/09/1996,2016-05-08,2016-05-08,
Nadine Rigney       ,08/10/1996,2016-05-08,2016-05-08,
Cynthia Allen       ,29/08/1996,2016-05-08,2016-05-08,
James Lundborg      ,02/05/1996,2016-05-08,2016-05-08,
William Legg        ,09/05/1996,2016-05-08,2016-05-08,
Betty Young         ,15/05/1996,2016-05-08,2016-05-08,
John Flora          ,15/05/1996,2016-05-08,2016-05-08,
Michael Selfridge   ,22/05/1996,2016-05-08,2016-05-08,
Michael Walden      ,03/09/1996,2016-05-08,2016-05-08,
Jason Villegas      ,08/06/1996,2016-05-08,2016-05-08,
Lisa Hazelwood      ,14/06/1996,2016-05-08,2016-05-08,
Brian Lane          ,16/06/1996,2016-05-08,2016-05-08,
Henry Brunson       ,21/06/1996,2016-05-08,2016-05-08,
Emily Lund          ,06/06/1996,2016-05-08,2016-05-08,
Sean Bishop         ,23/06/1996,2016-05-08,2016-05-08,
Laura Ingram        ,22/06/1996,2016-05-08,2016-05-08,
Debbie Kern         ,06/08/1996,2016-05-08,2016-05-08,
Melanie Cooke       ,31/07/1996,2016-05-08,2016-05-08,
Cheryl Harris       ,30/07/1996,2016-05-08,2016-05-08,
Edith Alexander     ,18/08/1996,2016-05-08,2016-05-08,
Sheila Burch        ,18/07/1996,2016-05-08,2016-05-08,
Florine Kim         ,14/07/1996,2016-05-08,2016-05-08,
Carl Uson           ,03/07/1996,2016-05-08,2016-05-08,
Doris Wilson        ,28/06/1996,2016-05-08,2016-05-08,
Myra Segura         ,28/07/1996,2016-05-08,2016-05-08,
Melissa Cashman     ,16/09/1997,2016-05-09,2016-05-09,
Emanuel Furman      ,25/11/1997,2016-05-09,2016-05-09,
Michelle Riesner    ,18/11/1997,2016-05-09,2016-05-09,
Carolyn Ave         ,29/10/1997,2016-05-09,2016-05-09,
Megan Lenoir        ,12/10/1997,2016-05-09,2016-05-09,
Kathryn Dean        ,11/10/1997,2016-05-09,2016-05-09,
Daniel Harris       ,07/10/1997,2016-05-09,2016-05-09,
Daniel Guzman       ,04/10/1997,2016-05-09,2016-05-09,
Alice Seidel        ,18/09/1997,2016-05-09,2016-05-09,
Sharon Barton       ,08/09/1997,2016-05-09,2016-05-09,
Fred Barnette       ,19/06/1997,2016-05-09,2016-05-09,
Isreal Jones        ,05/09/1997,2016-05-09,2016-05-09,
Wendy Faison        ,10/09/1995,2016-05-09,2016-05-09,
Grace Rains         ,28/08/1995,2016-05-09,2016-05-09,
Peter Romo          ,25/08/1995,2016-05-09,2016-05-09,
Kathryn Chapman     ,18/08/1995,2016-05-09,2016-05-09,
Thomas Cole         ,11/08/1995,2016-05-09,2016-05-09,
Margaret Magallanes ,07/08/1995,2016-05-09,2016-05-09,
Tara Gonzalez       ,23/07/1995,2016-05-09,2016-05-09,
Ronald Stovall      ,18/07/1995,2016-05-09,2016-05-09,
Coleen Kraus        ,17/07/1995,2016-05-09,2016-05-09,
Deborah Rosenfeld   ,14/07/1995,2016-05-09,2016-05-09,
Patrick Kerley      ,13/07/1995,2016-05-09,2016-05-09,
Adrienne Ruck       ,13/07/1995,2016-05-09,2016-05-09,
Kevin Leonard       ,11/06/1995,2016-05-09,2016-05-09,
Theodore Roper      ,07/06/1995,2016-05-09,2016-05-09,
Fredrick Acevedo    ,07/05/1995,2016-05-09,2016-05-09,
Zofia Treinen       ,06/05/1995,2016-05-09,2016-05-09,
Lyle Hemenway       ,03/05/1995,2016-05-09,2016-05-09,
John Panchik        ,16/09/1995,2016-05-09,2016-05-09,
Cynthia Corbin      ,21/09/1995,2016-05-09,2016-05-09,
Mark Dessert        ,24/09/1995,2016-05-09,2016-05-09,
Jim Turner          ,08/10/1995,2016-05-09,2016-05-09,
Randall Amberg      ,05/02/1996,2016-05-09,2016-05-09,
John Davis          ,05/02/1996,2016-05-09,2016-05-09,
Steven Jones        ,03/02/1996,2016-05-09,2016-05-09,
Tristan Chen        ,01/02/1996,2016-05-09,2016-05-09,
Jeffery Rosenthal   ,30/01/1996,2016-05-09,2016-05-09,
James Baker         ,21/01/1996,2016-05-09,2016-05-09,
Wes Carlson         ,13/01/1996,2016-05-09,2016-05-09,
Ronald Snook        ,03/01/1996,2016-05-09,2016-05-09,
Jennifer Brown      ,19/04/1995,2016-05-09,2016-05-09,
Elizabeth Wolley    ,29/12/1995,2016-05-09,2016-05-09,
Vickie Leathers     ,15/12/1995,2016-05-09,2016-05-09,
Vickie Carlos       ,21/11/1995,2016-05-09,2016-05-09,
Eula Wright         ,20/11/1995,2016-05-09,2016-05-09,
Betty Kessler       ,17/11/1995,2016-05-09,2016-05-09,
Lynn Bernhart       ,13/11/1995,2016-05-09,2016-05-09,
Charles Postell     ,31/10/1995,2016-05-09,2016-05-09,
Virginia Orr        ,18/10/1995,2016-05-09,2016-05-09,
Kenny Vandervort    ,17/10/1995,2016-05-09,2016-05-09,
Johnie Johnson      ,28/12/1995,2016-05-09,2016-05-09,
Dorothy Elkins      ,12/04/1995,2016-05-09,2016-05-09,
Phyllis Romero      ,24/03/1995,2016-05-09,2016-05-09,
Duane Hobbs         ,26/02/1995,2016-05-09,2016-05-09,
John Bona           ,22/03/1994,2016-05-09,2016-05-09,
Isaac Myers         ,01/03/1994,2016-05-09,2016-05-09,
Freda Shepardson    ,28/02/1994,2016-05-09,2016-05-09,
Karen Keeney        ,25/12/1993,2016-05-09,2016-05-09,
Debora Dukes        ,23/11/1993,2016-05-09,2016-05-09,
Mary Garret         ,12/11/1993,2016-05-09,2016-05-09,
Michael Mcbride     ,26/04/1993,2016-05-09,2016-05-09,
Heather Koehl       ,02/04/1993,2016-05-09,2016-05-09,
Laura Sotelo        ,06/04/1994,2016-05-09,2016-05-09,
Shirley Laswell     ,14/11/1992,2016-05-09,2016-05-09,
Juan Goodnight      ,17/08/1992,2016-05-09,2016-05-09,
Charlotte Samuels   ,04/08/1992,2016-05-09,2016-05-09,
Martha Burton       ,18/06/1992,2016-05-09,2016-05-09,
Frances Bateman     ,06/05/1992,2016-05-09,2016-05-09,
Spencer Spencer     ,13/10/1991,2016-05-09,2016-05-09,
Michelle Bennett    ,23/02/1991,2016-05-09,2016-05-09,
James Borders       ,31/12/1990,2016-05-09,2016-05-09,
Kenneth Hooker      ,27/05/1990,2016-05-09,2016-05-09,
Pablo Weidler       ,27/09/1992,2016-05-09,2016-05-09,
Francis Bunting     ,24/02/1996,2016-05-09,2016-05-09,
Mary Laura          ,09/04/1994,2016-05-09,2016-05-09,
William Nork        ,21/06/1994,2016-05-09,2016-05-09,
Frances Netherton   ,08/02/1995,2016-05-09,2016-05-09,
Brenda Mathis       ,15/01/1995,2016-05-09,2016-05-09,
Carl Dowling        ,09/01/1995,2016-05-09,2016-05-09,
Manuela Hines       ,06/12/1994,2016-05-09,2016-05-09,
Earl Manson         ,01/12/1994,2016-05-09,2016-05-09,
Kirby Roberts       ,26/11/1994,2016-05-09,2016-05-09,
Michael Tade        ,17/11/1994,2016-05-09,2016-05-09,
Robert Featherston  ,08/10/1994,2016-05-09,2016-05-09,
Maria Troutman      ,25/04/1994,2016-05-09,2016-05-09,
Elease Dicus        ,24/09/1994,2016-05-09,2016-05-09,
Emelda Clay         ,29/08/1994,2016-05-09,2016-05-09,
Tabitha Bower       ,21/08/1994,2016-05-09,2016-05-09,
Larry Reeder        ,07/08/1994,2016-05-09,2016-05-09,
Maribel Walters     ,30/07/1994,2016-05-09,2016-05-09,
David Gismondi      ,21/07/1994,2016-05-09,2016-05-09,
Victoria Moak       ,16/07/1994,2016-05-09,2016-05-09,
Debbie Mcneil       ,12/07/1994,2016-05-09,2016-05-09,
Carey Hamilton      ,10/07/1994,2016-05-09,2016-05-09,
Domingo Gonzales    ,14/09/1994,2016-05-09,2016-05-09,
Haley Fundora       ,02/03/1996,2016-05-09,2016-05-09,
Linda Gomez         ,08/03/1996,2016-05-09,2016-05-09,
Kathryn Starr       ,11/03/1996,2016-05-09,2016-05-09,
Jean Vayner         ,15/05/1997,2016-05-09,2016-05-09,
Natasha Temple      ,12/05/1997,2016-05-09,2016-05-09,
Charles Crandall    ,12/05/1997,2016-05-09,2016-05-09,
Anthony Scavone     ,16/04/1997,2016-05-09,2016-05-09,
Adrienne Raney      ,16/04/1997,2016-05-09,2016-05-09,
Jeanette Stupar     ,10/04/1997,2016-05-09,2016-05-09,
Beulah Lindsey      ,10/04/1997,2016-05-09,2016-05-09,
Irma Tseng          ,06/04/1997,2016-05-09,2016-05-09,
Lisa Gustavson      ,22/05/1997,2016-05-09,2016-05-09,
Kendall Burgos      ,05/04/1997,2016-05-09,2016-05-09,
Alfredo Vinci       ,08/03/1997,2016-05-09,2016-05-09,
Jimmy Figueroa      ,09/02/1997,2016-05-09,2016-05-09,
Linda Vasquez       ,28/01/1997,2016-05-09,2016-05-09,
Irma Cruz           ,21/01/1997,2016-05-09,2016-05-09,
Clyde Bradley       ,15/01/1997,2016-05-09,2016-05-09,
Susan Vandenbosch   ,14/01/1997,2016-05-09,2016-05-09,
Steven Lee          ,14/01/1997,2016-05-09,2016-05-09,
Homer Castro        ,10/01/1997,2016-05-09,2016-05-09,
Bryant Ahearn       ,08/03/1997,2016-05-09,2016-05-09,
Gerry Jenkins       ,06/01/1997,2016-05-09,2016-05-09,
Marisa Smiley       ,23/05/1997,2016-05-09,2016-05-09,
James Koval         ,27/05/1997,2016-05-09,2016-05-09,
Donald Reddout      ,29/08/1997,2016-05-09,2016-05-09,
Heather Baxter      ,21/08/1997,2016-05-09,2016-05-09,
Mary Hill           ,19/08/1997,2016-05-09,2016-05-09,
Cheryl Burton       ,17/08/1997,2016-05-09,2016-05-09,
Kenneth Towns       ,16/08/1997,2016-05-09,2016-05-09,
Raymond Shannon     ,06/08/1997,2016-05-09,2016-05-09,
Sheila Litecky      ,30/07/1997,2016-05-09,2016-05-09,
Laura Ortiz         ,23/07/1997,2016-05-09,2016-05-09,
Ada Tejeda          ,24/05/1997,2016-05-09,2016-05-09,
Thomas Harbert      ,21/07/1997,2016-05-09,2016-05-09,
Esther Swain        ,12/07/1997,2016-05-09,2016-05-09,
Thomas Palomo       ,09/07/1997,2016-05-09,2016-05-09,
Teresa Bahlmann     ,09/07/1997,2016-05-09,2016-05-09,
James Alfieri       ,06/07/1997,2016-05-09,2016-05-09,
Cory Simpson        ,01/07/1997,2016-05-09,2016-05-09,
Beverly Pimentel    ,20/06/1997,2016-05-09,2016-05-09,
Polly Mujalli       ,28/05/1997,2016-05-09,2016-05-09,
Eva Mulder          ,28/05/1997,2016-05-09,2016-05-09,
Charles Betts       ,18/07/1997,2016-05-09,2016-05-09,
Melody Whitlock     ,05/09/1997,2016-05-09,2016-05-09,
Mario Heilmann      ,30/12/1996,2016-05-09,2016-05-09,
Leroy Samela        ,27/12/1996,2016-05-09,2016-05-09,
Debbie Kern         ,06/08/1996,2016-05-09,2016-05-09,
Matthew Foster      ,04/08/1996,2016-05-09,2016-05-09,
Joelle Grimaud      ,03/08/1996,2016-05-09,2016-05-09,
Cheryl Harris       ,30/07/1996,2016-05-09,2016-05-09,
Shayne West         ,20/07/1996,2016-05-09,2016-05-09,
Mary Murray         ,17/07/1996,2016-05-09,2016-05-09,
Florine Kim         ,14/07/1996,2016-05-09,2016-05-09,
Christopher Orgill  ,24/06/1996,2016-05-09,2016-05-09,
Michelle Moore      ,13/08/1996,2016-05-09,2016-05-09,
Henry Brunson       ,21/06/1996,2016-05-09,2016-05-09,
Lisa Hazelwood      ,14/06/1996,2016-05-09,2016-05-09,
Jennifer Gearhart   ,14/06/1996,2016-05-09,2016-05-09,
Jason Villegas      ,08/06/1996,2016-05-09,2016-05-09,
William Legg        ,09/05/1996,2016-05-09,2016-05-09,
George Walters      ,04/05/1996,2016-05-09,2016-05-09,
Henry Torres        ,02/05/1996,2016-05-09,2016-05-09,
Jimmy Smiley        ,19/04/1996,2016-05-09,2016-05-09,
Adam Johnson        ,11/04/1996,2016-05-09,2016-05-09,
Brian Lane          ,16/06/1996,2016-05-09,2016-05-09,
Daniel Cortez       ,28/12/1996,2016-05-09,2016-05-09,
Cassidy Williams    ,14/08/1996,2016-05-09,2016-05-09,
Lucia Davis         ,22/08/1996,2016-05-09,2016-05-09,
Patrick Meehan      ,22/12/1996,2016-05-09,2016-05-09,
John Borden         ,27/11/1996,2016-05-09,2016-05-09,
Christine Victoria  ,26/11/1996,2016-05-09,2016-05-09,
Judy Livingston     ,10/11/1996,2016-05-09,2016-05-09,
Geraldine Fried     ,27/10/1996,2016-05-09,2016-05-09,
Juan Chandler       ,22/10/1996,2016-05-09,2016-05-09,
Charles Ramos       ,07/10/1996,2016-05-09,2016-05-09,
Benjamin Kave       ,01/10/1996,2016-05-09,2016-05-09,
Edith Alexander     ,18/08/1996,2016-05-09,2016-05-09,
Woodrow Johnston    ,28/09/1996,2016-05-09,2016-05-09,
James Szymanski     ,19/09/1996,2016-05-09,2016-05-09,
Brittany Calvert    ,18/09/1996,2016-05-09,2016-05-09,
Lucy Watson         ,11/09/1996,2016-05-09,2016-05-09,
Shawn Jimeson       ,02/09/1996,2016-05-09,2016-05-09,
Maude Faulkner      ,02/09/1996,2016-05-09,2016-05-09,
Sammy Fox           ,31/08/1996,2016-05-09,2016-05-09,
Cynthia Allen       ,29/08/1996,2016-05-09,2016-05-09,
Stephen Moskovitz   ,27/08/1996,2016-05-09,2016-05-09,
Rhonda Hammond      ,26/09/1996,2016-05-09,2016-05-09,
Terri Kennedy       ,17/12/1993,2016-05-09,2016-05-09,
Joshua Heimsness    ,12/12/1993,2016-05-10,2016-05-10,
David Graves        ,03/02/1997,2016-05-10,2016-05-10,
