name,dob,theft_count
Joseph Blanco,02/06/1996,2
Michelle Moore,13/08/1996,2
Josefina Armstrong,06/05/1997,2
Jose Daniel,27/09/1996,2
Jonathan Clark,26/09/1995,2
Jonathan Kats,31/05/1995,2
Mary Dicicco,31/03/1995,2
Keith Rains,15/12/1996,2
Lydia Howard,03/06/1996,2
Leonard Coggin,10/08/1996,2
Martha Holland,26/04/1995,2
Louise Horabik,10/04/1994,2
Lillian Cooper,17/02/1997,2
Margaret Huff,11/09/1996,2
Mark Dessert,24/09/1995,2
Jaclyn Jordan,29/03/1995,2
Laura Murphy,02/08/1996,2
Amanda Ciciora,26/10/1995,1
Amy Applewhite,25/06/1995,1
Juan Jones,05/12/1996,1
Alice Kite,14/05/1995,1
Yvette Vasquez,05/05/1995,1
Clinton Robinson,15/08/1996,1
William Dowd,18/06/1996,1
Lucille Moore,05/08/1997,1
Amy Smith,21/02/1996,1
Joyce Williams,26/09/1992,1
Joshua Penttila,08/12/1996,1
Joshua Custer,21/12/1996,1
Joseph Holt,11/11/1997,1
Stella Boehmer,19/04/1993,1
Curtis Degroot,14/11/1993,1
Shirley White,23/08/1995,1
Cindy Phillips,09/01/1997,1
Sidney Brockington,14/03/1996,1
Jacklyn Wooten,25/06/1995,1
David Herring,07/11/1995,1
David Mccarthy,25/04/1994,1
David Rufino,02/11/1997,1
Allen Brown,01/04/1997,1
Velma Smith,18/03/1997,1
Michael Lucas,20/06/1997,1
Julie Gordon,03/04/1997,1
April Thompson,28/07/1996,1
Blair Mcrary,07/10/1996,1
Kimberly Huffman,14/07/1994,1
Kim Langer,13/06/1997,1
Mathilde Galligan,11/09/1996,1
Tina Pittman,05/06/1997,1
Carol Hughes,02/12/1995,1
Benny Wene,18/03/1996,1
Kelsey Hardiman,08/02/1996,1
Leontine Galuska,21/03/1996,1
Mark Murphy,15/11/1995,1
Catherine Hernandez,16/04/1997,1
Charles Howard,30/07/1996,1
Theodore Roper,07/06/1995,1
Michael Denton,13/10/1996,1
Thomas Goleman,07/02/1996,1
Walter Myers,14/01/1997,1
Anthony Rambo,02/08/1994,1
Chris Collins,12/02/1995,1
Annie Valencia,21/11/1996,1
Lisa Walker,14/09/1996,1
Loretta Massey,14/08/1996,1
Christopher Lutwin,21/12/1996,1
Theresa Flannery,23/02/1997,1
Theresa Brucato,07/11/1994,1
Monica Parker,15/01/1996,1
Joseph Arredondo,02/07/1997,1
John Baumer,26/01/1996,1
Harry Poe,20/03/1997,1
Gregory Gray,03/10/1997,1
Shannon Ferrera,09/07/1997,1
Nicholas Ibarra,13/11/1996,1
Gertrude Giglio,25/05/1997,1
Edwin Oshea,27/05/1995,1
Robin Jones,14/07/1992,1
James Ewing,05/07/1997,1
James Heminger,25/10/1994,1
Sarah Cushman,15/10/1996,1
James Szymanski,19/09/1996,1
Sharon Davis,18/10/1990,1
Elizabeth Riggs,24/02/1996,1
Frances Robinson,25/02/1996,1
Jerry Boris,07/09/1995,1
Randy Breen,12/09/1996,1
Eric Shelton,13/05/1997,1
Patrick Kerley,22/10/1996,1
Gloria Palmer,01/11/1996,1
Sam Modi,23/05/1996,1
Paz James,19/01/1995,1
Ralph Tom,08/02/1997,1
Jaime Farrow,07/10/1996,1
Duane Gray,16/07/1994,1
Robert Armstrong,01/06/1995,1
Nancy Castle,16/11/1994,1
Sheryl Heenan,12/04/1995,1
Nannie Monson,13/03/1995,1
Phillip Harris,23/12/1995,1
Shelly Wurth,24/12/1996,1
Donald Rangel,07/12/1996,1
Irving Wolchesky,07/11/1994,1
Pearlie Malinowski,29/01/1994,1
James Schmid,31/10/1993,1
Regina Holderby,18/02/1996,1
Rebecca Morris,10/09/1997,1
Rachael Mcroberts,31/07/1995,1
Irene Bean,16/12/1996,1
Robert Hovermale,22/07/1996,1
